2	2	1	5	3	2
2	3	1	6	5	4
3	4	6	7	1	3
3	5	6	8	5	2
6	6	5	7	3	2
8	7	4	6	5	4
9	8	3	10	3	1
10	9	2	5	1	3
11	10	1	7	3	2
14	12	5	8	2	2
15	13	4	8	2	6
17	14	3	9	5	1
18	15	2	7	1	4
18	16	2	6	2	4
20	17	1	12	6	6
23	21	5	5	3	4
23	23	5	7	3	2
25	25	3	10	2	3
0	0	1	8	2	6
1	0	6	9	3	2
6	3	4	6	2	4
6	4	3	10	3	3
8	5	2	12	3	4
9	6	1	7	2	4
9	7	6	10	3	4
10	8	5	8	3	3
11	9	5	8	5	2
13	11	4	7	2	6
14	12	3	8	1	3
17	15	6	8	4	4
20	17	4	8	3	1
22	18	3	9	2	4
22	19	3	7	5	4
24	20	2	7	3	4
2	1	6	8	2	2
3	2	5	4	3	4
5	3	4	10	3	1
11	5	2	6	2	6
12	7	1	9	3	2
13	8	6	7	1	4
15	10	5	3	3	2
16	11	4	9	1	3
16	12	4	9	2	3
17	13	3	10	5	4
20	16	1	9	3	2
22	18	6	8	5	2
22	19	6	10	3	2
22	20	6	11	3	4
24	22	5	8	5	4
24	23	5	9	1	2
0	1	6	8	5	2
1	1	5	5	4	2
1	2	5	8	1	3
1	3	5	12	6	4
1	4	5	6	3	4
6	6	3	6	2	4
8	7	2	4	4	1
19	11	6	3	3	4
19	12	6	10	4	4
20	14	5	7	5	4
20	14	5	8	2	2
22	16	3	4	2	3
22	17	3	6	4	1
22	17	3	8	2	1
23	19	2	1	2	4
23	20	2	6	6	4
24	21	1	9	2	2
24	22	1	8	5	2
0	0	1	9	3	2
3	1	6	9	1	3
4	2	5	8	1	6
9	6	2	8	2	6
10	7	1	9	2	2
13	8	6	9	2	4
16	9	5	9	4	4
0	1	6	9	2	2
4	4	4	8	3	1
9	5	3	9	5	4
13	9	5	6	3	3
16	13	3	8	2	3
17	14	1	7	2	3
17	15	1	8	1	4
18	16	6	9	1	4
0	1	1	10	3	6
1	3	1	10	2	2
6	4	6	9	2	2
6	5	6	10	1	2
6	6	6	8	2	3
6	7	6	9	2	3
8	9	4	7	2	4
11	10	3	10	1	3
11	11	3	9	3	4
11	12	3	8	3	3
13	13	2	9	2	3
15	13	1	4	2	4
16	17	6	10	3	4
17	19	5	9	2	3
17	20	5	10	2	2
0	1	6	8	4	4
0	2	6	9	1	4
0	2	6	7	2	4
0	2	6	7	3	2
0	2	6	8	1	4
1	3	5	9	7	4
1	4	5	7	2	2
4	7	3	8	5	4
4	8	3	8	3	1
6	9	2	8	1	3
16	11	6	7	4	2
19	11	5	9	3	6
